source_file,token_count,occurrence_count
A11115.txt,29237,0
A01444.txt,29208,0
A01443.txt,29174,0
A11116.txt,29169,0
A05282.txt,28408,0
A02475.txt,28023,0
A14254.txt,27708,0
A17000.txt,27339,0
A16804.txt,27108,0
A14155.txt,26422,0
A18250.txt,26010,0
A08247.txt,25925,0
A13755.txt,25804,0
A02099.txt,25744,0
A06768.txt,24399,0
A11510.txt,24133,0
A02223.txt,23821,0
A09757.txt,23710,0
A17445.txt,21644,0
A01017.txt,21152,0
A12180.txt,21146,0
A12138.txt,20932,0
A13235.txt,20730,0
A18421.txt,20246,0
A03497.txt,19892,0
A11205.txt,19872,0
A01694.txt,19692,0
A17019.txt,19554,0
A14289.txt,19426,0
A04125.txt,19061,0
A08242.txt,18696,0
A05279.txt,18491,0
A05458.txt,18455,0
A10664.txt,17510,0
A14976.txt,17165,0
A02836.txt,17114,0
A14660.txt,16997,0
A00725.txt,16652,0
A08258.txt,16545,0
A05349.txt,16438,0
A12140.txt,16383,0
A13345.txt,16284,0
A07974.txt,15813,0
A09513.txt,15648,0
A13290.txt,15421,0
A16959.txt,15329,0
A03351.txt,14891,0
A03185.txt,14443,0
A02904.txt,13966,0
A05165.txt,13843,0
A04079.txt,13737,0
A15050.txt,12683,0
A05417.txt,12365,0
A02624.txt,12330,0
A12274.txt,12112,0
A03413.txt,11788,0
A16985.txt,11633,0
A02225.txt,11457,0
A14974.txt,11324,0
A04849.txt,10797,0
A11154.txt,10792,0
A01923.txt,10725,0
A04762.txt,10502,0
A00888.txt,10407,0
A08761.txt,10300,0
A02655.txt,10179,0
A11404.txt,10102,0
A17500.txt,10026,0
A03406.txt,10012,0
A10502.txt,9864,0
A01338.txt,9624,0
A11612.txt,9481,0
A16247.txt,9295,0
A00699.txt,9159,0
A04569.txt,8907,0
A17119.txt,8562,0
A12689.txt,8407,0
A01003.txt,8324,0
A03470.txt,8164,0
A17387.txt,8048,0
A02394.txt,8025,0
A03494.txt,7683,0
A00555.txt,7595,0
A08172.txt,7255,0
A18416.txt,7143,0
A04118.txt,6887,0
A02732.txt,6684,0
A04691.txt,6502,0
A15357.txt,6282,0
A12455.txt,6245,0
A04081.txt,6146,0
A02597.txt,6022,0
A02607.txt,5919,0
A06737.txt,5656,0
A00206.txt,5486,0
A16207.txt,5038,0
A08440.txt,4659,0
A09387.txt,4535,0
A05056.txt,4524,0
A14439.txt,4309,0
A10225.txt,4305,0
A00250.txt,4301,0
A00169.txt,4179,0
A00263.txt,4055,0
A03204.txt,3985,0
A08966.txt,3891,0
A08184.txt,3747,0
A07517.txt,3595,0
A04311.txt,3572,0
A13477.txt,3489,0
A04690.txt,3002,0
A03800.txt,2820,0
A04076.txt,2772,0
A05586.txt,2712,0
A02172.txt,2464,0
A09906.txt,2437,0
A10131.txt,2378,0
A07515.txt,2364,0
A03780.txt,2341,0
A08461.txt,2116,0
A04104.txt,2066,0
A22321.txt,1970,0
A04077.txt,1808,0
A14519.txt,1725,0
A04106.txt,1650,0
A06793.txt,1563,0
A10725.txt,1434,0
A01169.txt,1389,0
A01044.txt,1380,0
A08303.txt,1377,0
A04102.txt,1357,0
A04124.txt,1312,0
A04123.txt,1311,0
A15469.txt,1248,0
A04122.txt,1210,0
A13628.txt,1210,0
A16968.txt,1050,0
A14510.txt,828,0
A14512.txt,821,0
A14526.txt,766,0
A18259.txt,688,0
A04070.txt,643,0
A14517.txt,473,0
A14524.txt,439,0
A07855.txt,430,0
A14513.txt,367,0
A14516.txt,296,0
A14511.txt,196,0
